"Match","Date","Tournament","Radiant","Dire","Winner","Round","Game","Time","Score"
"2140476449","02/09/16","WePlay 3 EU Qualifiers","Liquid","WG 2","RADIANT","","","11.57","14 - 2"
"2157002584","02/16/16","ESL One Americas Qualifiers","coL 2","E.Wolves","RADIANT","","","12.53","16 - 2"
"2123439452","02/02/16","WePlay 3 EU Qualifiers","FF","PD 2","RADIANT","","","12.55","20 - 2"
"2114206849","01/29/16","Canada Cup 6","Infamous 2","DC","DIRE","","","13.48","1 - 12"
"2163426498","02/19/16","WePlay 3 EU Qualifiers","AF  3","PRIES 2","RADIANT","","","13.65","21 - 3"
"2131021390","02/05/16","ESL One Americas Qualifiers","cG    5","Shazam","DIRE","","","14.25","3 - 13"
"2109725036","01/27/16","MarsTV League Winter 2015 Finals","Nb","OG","DIRE","","","14.45","7 - 17"
"2126235336","02/03/16","WePlay 3 Americas Qualifiers","Archon","DC","DIRE","","","14.82","2 - 24"
"2138469636","02/08/16","WePlay 3 Americas Qualifiers","Archon","PoF 2","RADIANT","","","15.47","13 - 7"
"2155027337","02/15/16","ESL One Americas Qualifiers","coL 2","DC","RADIANT","","","15.72","13 - 3"
"2092740526","01/20/16","ProDota 2 National Cup","TR 2","TR  3","RADIANT","","","16.22","6 - 2"
"2141936496","02/10/16","WePlay 3 SEA Qualifiers","TNC","SiG.Tr","RADIANT","","","16.35","13 - 2"
"2110262306","01/28/16","MarsTV League Winter 2015 Finals","EG","EHOME","DIRE","","","16.43","6 - 16"
"2136226632","02/07/16","ESL One Americas Qualifiers","paiN","Infamous 2","DIRE","","","16.45","4 - 16"
"2110775831","01/28/16","MarsTV League Winter 2015 Finals","OG","Secret","RADIANT","","","16.68","16 - 4"
"2094078036","01/21/16","MarsTV League 2015 China Qualifiers","iG","DW","RADIANT","LB Round of 16","2","16.92","10 - 8"
"2128250878","02/04/16","Uprise Champions Cup Special","FF","ATN","RADIANT","","","17.00","16 - 6"
"2195561641","03/03/16","Shanghai Major Finals","Liquid","MVP Phoenix","RADIANT","","","17.42","20 - 5"
"2159205030","02/17/16","WePlay 3 EU Qualifiers","AF  3","LC","RADIANT","","","17.52","22 - 4"
"2138530035","02/08/16","WePlay 3 Americas Qualifiers","NME","Shazam","DIRE","","","17.57","3 - 22"
"2112609850","01/29/16","MarsTV League Winter 2015 Finals","VG","EHOME","DIRE","","","17.57","9 - 24"
"2133414195","02/06/16","ESL One Americas Qualifiers","PoF 2","Unknown  3","RADIANT","","","17.90","18 - 5"
"2125426666","02/03/16","WePlay 3 SEA Qualifiers","Taring","SiG.Tr","RADIANT","","","17.97","21 - 4"
"2088537519","01/18/16","Uprise Champions Cup Special","NLG","PRIES 2","RADIANT","","","18.12","28 - 12"
"2126181113","02/03/16","WePlay 3 Americas Qualifiers","DC","Shazam","RADIANT","","","18.35","19 - 7"
"2163091710","02/19/16","WePlay 3 EU Qualifiers","FF","Empire","RADIANT","","","18.37","21 - 3"
"2177171063","02/25/16","Shanghai Major Finals","Secret","MVP Phoenix","DIRE","","","18.57","4 - 22"
"2198141418","03/04/16","Shanghai Major Finals","EG","coL 2","RADIANT","","","18.60","19 - 4"
"2140619101","02/09/16","Dota Pit League Season 4","TSpirit","99","RADIANT","","","18.70","32 - 13"
"2130751109","02/05/16","Dota Pit League Season 4","LC","TSpirit","DIRE","","","18.73","3 - 15"
"2098706328","01/23/16","MarsTV League 2015 China Qualifiers","CDEC.Y 2","Newbee.Y","RADIANT","LB Semifinals","2","18.92","20 - 6"
"2096451816","01/22/16","WePlay 3 SEA Qualifiers","TNC","SiG.Tr","RADIANT","","","19.05","14 - 5"
"2142501236","02/10/16","ESL One EU Qualifiers","Vega","Power Rangers","RADIANT","","","19.07","12 - 1"
"2136241588","02/07/16","WePlay 3 Americas Qualifiers","E.Wolves","PoF 2","RADIANT","","","19.33","17 - 3"
"2155057012","02/15/16","ESL One Americas Qualifiers","DC","coL 2","RADIANT","","","19.45","24 - 11"
"2106735947","01/26/16","WePlay 3 EU Qualifiers","Empire","FF","RADIANT","","","19.62","28 - 9"
"2146691699","02/12/16","WePlay 3 SEA Qualifiers","MVP Phoenix","Mineski","RADIANT","","","19.75","23 - 1"
"2112506909","01/29/16","MarsTV League Winter 2015 Finals","VG","EHOME","DIRE","","","19.97","5 - 16"
