"Match","Date","Tournament","Radiant","Dire","Winner","Round","Game","Time","Score"
"1817107757","09/24/15","D2CL 6","MFF","HR","DIRE","Group Stage","2","50.32","20 - 30"
"1817084069","09/24/15","NanYang Europe Qualifiers","Vega","NiP 2","DIRE","UB Quarterfinals","2","38.92","20 - 40"
"1817005025","09/24/15","D2CL 6","HR","MFF","RADIANT","Group Stage","1","28.40","36 - 25"
"1817001413","09/24/15","NanYang Europe Qualifiers","NiP 2","Vega","RADIANT","UB Quarterfinals","1","28.27","31 - 13"
"1816785755","09/24/15","NanYang Europe Qualifiers","Empire","Liquid","DIRE","UB Quarterfinals","2","27.50","9 - 31"
"1816662802","09/24/15","ProDota 2 National Cup","Unknown","Unknown","RADIANT","","","45.32","39 - 28"
"1816634444","09/24/15","NanYang Europe Qualifiers","Empire","Liquid","DIRE","UB Quarterfinals","1","27.15","8 - 30"
"1816467633","09/24/15","ProDota 2 National Cup","Unknown","Unknown","DIRE","","","55.78","28 - 33"
"1816272474","09/24/15","NanYang China Qualifiers","iG","EHOME","DIRE","Finals","5","50.17","34 - 34"
"1816157943","09/24/15","NanYang China Qualifiers","EHOME","iG","DIRE","Finals","4","23.88","8 - 31"
"1816014829","09/24/15","NanYang China Qualifiers","iG","EHOME","DIRE","Finals","3","46.50","22 - 39"
"1815910733","09/24/15","NanYang China Qualifiers","EHOME","iG","DIRE","Finals","2","36.47","13 - 35"
"1815833403","09/24/15","NanYang China Qualifiers","iG","EHOME","DIRE","Finals","1","26.22","12 - 30"
"1815451973","09/23/15","BTS Americas 2","LvT","C9","DIRE","Finals","5","24.22","6 - 21"
"1815346801","09/23/15","BTS Americas 2","LvT","C9","DIRE","Finals","4","57.97","17 - 36"
"1815246708","09/23/15","BTS Americas 2","LvT","C9","RADIANT","Finals","3","57.73","46 - 39"
"1815138708","09/23/15","BTS Americas 2","C9","LvT","DIRE","Finals","2","85.45","36 - 34"
"1815099326","09/23/15","BTS Americas 2","LvT","C9","DIRE","Finals","1","25.92","9 - 18"
"1814948528","09/23/15","The Defense 5 Qualifiers","DB  3","LD","DIRE","Group Stage","1","34.35","25 - 24"
"1814841742","09/23/15","The Defense 5 Qualifiers","SFZ","Liquid","RADIANT","Group Stage","2","35.87","31 - 35"
"1814810714","09/23/15","D2CL 6","Power Rangers","OG","DIRE","Group Stage","2","30.07","26 - 40"
"1814754480","09/23/15","The Defense 5 Qualifiers","SFZ","Liquid","DIRE","Group Stage","1","31.03","17 - 33"
"1814733279","09/23/15","D2CL 6","OG","Power Rangers","RADIANT","Group Stage","1","24.72","26 - 13"
"1814690620","09/23/15","ProDota 2 National Cup","Unknown","Denmark","RADIANT","","","27.93","27 - 9"
"1813838604","09/23/15","ESL One NY 2015 China Qualifiers","iG","EHOME","DIRE","Finals","3","41.27","7 - 26"
"1813729187","09/23/15","ESL One NY 2015 China Qualifiers","EHOME","iG","RADIANT","Finals","2","18.08","22 - 3"
"1813635619","09/23/15","ESL One NY 2015 China Qualifiers","iG","EHOME","RADIANT","Finals","1","28.90","26 - 3"
"1813042277","09/22/15","BTS Americas 2","coL 2","LvT","DIRE","Semifinals","3","36.98","15 - 25"
"1812988431","09/22/15","BTS Americas 2","LvT","coL 2","DIRE","Semifinals","2","33.78","15 - 19"
"1812930758","09/22/15","BTS Americas 2","coL 2","LvT","DIRE","Semifinals","1","43.33","14 - 29"
"1812858121","09/22/15","BTS Americas 2","C9","Fire","RADIANT","Semifinals","1","32.47","25 - 11"
"1812811276","09/22/15","MLG World Finals Americas Qualifiers","Fire","HCWP","RADIANT","Quarterfinals","3","32.95","25 - 20"
"1812775141","09/22/15","MLG World Finals Americas Qualifiers","HCWP","Fire","DIRE","Quarterfinals","2","19.33","9 - 25"
"1812754375","09/22/15","The Defense 5 Qualifiers","MFF","4ASC","DIRE","Group Stage","2","17.00","6 - 11"
"1812702711","09/22/15","MLG World Finals Americas Qualifiers","Fire","HCWP","DIRE","Quarterfinals","1","46.47","18 - 36"
"1812701738","09/22/15","The Defense 5 Qualifiers","4ASC","MFF","RADIANT","Group Stage","1","27.10","16 - 8"
"1812696823","09/22/15","ProDota 2 National Cup","Unknown","Unknown","RADIANT","","","20.20","29 - 4"
"1812665131","09/22/15","D2CL 6","Liquid","nt123","RADIANT","Group Stage","3","43.60","24 - 23"
"1812598374","09/22/15","D2CL 6","nt123","Liquid","DIRE","Group Stage","2","11.68","4 - 17"
"1812596765","09/22/15","ProDota 2 National Cup","Unknown","Unknown","DIRE","","","39.97","14 - 30"
"1812592913","09/22/15","The Defense 5 Qualifiers","Power Rangers","OG","DIRE","Group Stage","2","32.80","17 - 30"
"1812535066","09/22/15","The Defense 5 Qualifiers","OG","Power Rangers","RADIANT","Group Stage","1","18.13","14 - 4"
"1812491700","09/22/15","D2CL 6","Liquid","nt123","DIRE","Group Stage","1","41.17","11 - 33"
"1812402915","09/22/15","The Defense 5 Qualifiers","Power Rangers","MFF","DIRE","","","57.87","26 - 41"
"1812173770","09/22/15","ESL One NY 2015 China Qualifiers","EHOME","VG","RADIANT","Semifinals","2","52.30","39 - 30"
"1812038078","09/22/15","ESL One NY 2015 China Qualifiers","VG","EHOME","DIRE","Semifinals","1","29.68","22 - 32"
"1811867531","09/22/15","ESL One NY 2015 China Qualifiers","iG","LGD.cn","RADIANT","Semifinals","3","37.42","26 - 13"
"1811704163","09/22/15","NanYang China Qualifiers","EHOME","CDEC.Y","RADIANT","LB Finals","2","49.63","32 - 26"
"1811700902","09/22/15","ESL One NY 2015 China Qualifiers","LGD.cn","iG","RADIANT","Semifinals","2","37.50","27 - 10"
"1811606944","09/22/15","NanYang China Qualifiers","CDEC.Y","EHOME","DIRE","LB Finals","1","26.57","11 - 23"
"1811567623","09/22/15","ESL One NY 2015 China Qualifiers","iG","LGD.cn","RADIANT","Semifinals","1","42.88","17 - 2"
"1811430277","09/22/15","NanYang China Qualifiers","CDEC.Y","TongFu","RADIANT","LB Semifinals","3","58.47","39 - 34"
"1811347684","09/22/15","NanYang China Qualifiers","TongFu","CDEC.Y","RADIANT","LB Semifinals","2","30.12","26 - 4"
"1811268034","09/22/15","NanYang China Qualifiers","CDEC.Y","TongFu","RADIANT","LB Semifinals","1","34.12","24 - 12"
"1810835383","09/21/15","BTS Americas 2","Team Unknown","Fire","DIRE","Quarterfinals","2","11.30","3 - 16"
"1810755905","09/21/15","BTS Americas 2","Team Unknown","Fire","DIRE","Quarterfinals","1","60.37","42 - 34"
"1810687766","09/21/15","MLG World Finals Americas Qualifiers","coL 2","C9","DIRE","Semifinals","3","40.87","10 - 25"
"1810648824","09/21/15","The Defense 5 Qualifiers","MFF","OG","DIRE","Group Stage","2","23.92","12 - 18"
"1810638968","09/21/15","MLG World Finals Americas Qualifiers","C9","coL 2","RADIANT","Semifinals","2","34.22","29 - 15"
"1810591554","09/21/15","The Defense 5 Qualifiers","OG","MFF","RADIANT","Group Stage","1","38.93","25 - 13"
"1810583809","09/21/15","D2CL 6","Alliance","PRIES","DIRE","Group Stage","3","28.05","5 - 19"
"1810575021","09/21/15","MLG World Finals Americas Qualifiers","C9","coL 2","DIRE","Semifinals","1","35.03","11 - 23"
"1810532875","09/21/15","ProDota 2 National Cup","Unknown","Unknown","RADIANT","","","48.43","35 - 32"
"1810515265","09/21/15","D2CL 6","PRIES","Alliance","DIRE","Group Stage","2","42.87","10 - 32"
"1810466029","09/21/15","The Defense 5 Qualifiers","GB","4ASC","DIRE","Group Stage","2","76.77","37 - 40"
"1810455646","09/21/15","ProDota 2 National Cup","Unknown","Unknown","DIRE","","","32.55","12 - 32"
"1810404713","09/21/15","D2CL 6","Alliance","PRIES","DIRE","Group Stage","1","37.38","13 - 33"
"1810365046","09/21/15","The Defense 5 Qualifiers","4ASC","GB","RADIANT","Group Stage","1","38.83","26 - 12"
"1810296141","09/21/15","ProDota 2 National Cup","Unknown","XPC.ASUS","RADIANT","","","33.55","36 - 9"
"1810186240","09/21/15","ProDota 2 National Cup","Unknown","Unknown","DIRE","","","35.93","16 - 26"
"1810104573","09/21/15","D2CL 6","Empire","NLG","DIRE","Group Stage","2","25.73","7 - 33"
"1810014169","09/21/15","ESL One NY 2015 China Qualifiers","EHOME","VG.P","RADIANT","Quarterfinals","2","51.22","39 - 30"
"1809963816","09/21/15","D2CL 6","NLG","Empire","RADIANT","Group Stage","1","29.18","31 - 17"
"1809928926","09/21/15","ESL One NY 2015 China Qualifiers","VG.P","EHOME","DIRE","Quarterfinals","1","16.43","5 - 20"
"1809727053","09/21/15","NanYang China Qualifiers","iG","EHOME","RADIANT","UB Finals","3","56.00","34 - 17"
"1809706443","09/21/15","ESL One NY 2015 China Qualifiers","TongFu","VG","DIRE","Quarterfinals","3","34.12","12 - 31"
"1809559963","09/21/15","NanYang China Qualifiers","EHOME","iG","RADIANT","UB Finals","2","45.98","22 - 18"
"1809538214","09/21/15","ESL One NY 2015 China Qualifiers","VG","TongFu","DIRE","Quarterfinals","2","43.77","19 - 39"
"1809429047","09/21/15","ESL One NY 2015 China Qualifiers","TongFu","VG","DIRE","Quarterfinals","1","31.90","14 - 21"
"1809426660","09/21/15","NanYang China Qualifiers","iG","EHOME","RADIANT","UB Finals","1","39.27","25 - 21"
"1809234301","09/21/15","NanYang China Qualifiers","Nb","TongFu","DIRE","LB Quarterfinals","1","31.62","11 - 29"
"1809138758","09/21/15","NanYang China Qualifiers","FTD.A","CDEC.Y","DIRE","LB Quarterfinals","1","39.57","19 - 27"
"1808788110","09/20/15","BTS Americas 2","LvT","HCWP","RADIANT","Quarterfinals","3","67.58","23 - 32"
"1808726308","09/20/15","BTS Americas 2","LvT","HCWP","RADIANT","Quarterfinals","2","44.32","24 - 14"
"1808657342","09/20/15","BTS Americas 2","HCWP","LvT","RADIANT","Quarterfinals","1","50.90","26 - 18"
"1808571561","09/20/15","BTS Americas 2","VB","coL 2","DIRE","Quarterfinals","2","27.38","12 - 27"
"1808507369","09/20/15","BTS Americas 2","coL 2","VB","RADIANT","Quarterfinals","1","54.67","30 - 35"
"1808342682","09/20/15","BTS Americas 2","C9","ROOT 2","RADIANT","Quarterfinals","2","46.30","29 - 22"
"1808269649","09/20/15","BTS Americas 2","ROOT 2","C9","DIRE","Quarterfinals","1","22.25","3 - 19"
"1807878462","09/20/15","ESL One NY 2015 China Qualifiers","iG","Nb","RADIANT","Quarterfinals","3","29.02","26 - 10"
"1807738402","09/20/15","ESL One NY 2015 China Qualifiers","Nb","iG","DIRE","Quarterfinals","2","28.75","3 - 29"
"1807579893","09/20/15","ESL One NY 2015 China Qualifiers","iG","Nb","DIRE","Quarterfinals","1","36.32","12 - 33"
"1807391096","09/20/15","NanYang China Qualifiers","TongFu","EHOME","DIRE","UB Semifinals","3","32.82","12 - 26"
"1807257172","09/20/15","NanYang China Qualifiers","EHOME","TongFu","RADIANT","UB Semifinals","2","23.55","22 - 8"
"1807072115","09/20/15","NanYang China Qualifiers","TongFu","EHOME","RADIANT","UB Semifinals","1","51.00","31 - 14"
"1807031394","09/20/15","ESL One NY 2015 China Qualifiers","LGD.cn","DB 2","RADIANT","Quarterfinals","2","31.63","52 - 27"
"1806944958","09/20/15","ESL One NY 2015 China Qualifiers","DB 2","LGD.cn","DIRE","Quarterfinals","1","16.97","6 - 18"
"1806924913","09/20/15","NanYang China Qualifiers","iG","CDEC.Y","RADIANT","UB Semifinals","3","28.13","27 - 7"
"1806780531","09/20/15","NanYang China Qualifiers","iG","CDEC.Y","RADIANT","UB Semifinals","2","34.77","24 - 18"
"1806634912","09/20/15","NanYang China Qualifiers","CDEC.Y","iG","RADIANT","UB Semifinals","1","32.60","20 - 7"
"1805620417","09/19/15","MLG World Finals EU Qualifiers","OG","TSpirit","RADIANT","Finals","4","20.55","28 - 8"
"1805507703","09/19/15","MLG World Finals EU Qualifiers","OG","TSpirit","DIRE","Finals","3","37.68","14 - 42"
"1805407916","09/19/15","MLG World Finals EU Qualifiers","TSpirit","OG","DIRE","Finals","2","28.42","26 - 24"
"1805173130","09/19/15","MLG World Finals EU Qualifiers","TSpirit","OG","DIRE","Finals","1","67.57","48 - 43"
"1804946826","09/19/15","NanYang China Qualifiers","FTD.A","DK","RADIANT","LB Round of 16","1","35.88","26 - 17"
"1804751501","09/19/15","ESL One NY 2015 China Qualifiers","TongFu","DK","RADIANT","Round of 16","2","26.60","29 - 22"
"1804650114","09/19/15","NanYang China Qualifiers","Nb","FTD.B","RADIANT","LB Round of 16","1","81.13","46 - 37"
"1804552656","09/19/15","ESL One NY 2015 China Qualifiers","DK","TongFu","DIRE","Round of 16","1","26.50","10 - 12"
"1804469868","09/19/15","NanYang China Qualifiers","Nb","CDEC.Y","DIRE","UB Quarterfinals","2","27.47","17 - 29"
"1804370401","09/19/15","NanYang China Qualifiers","CDEC.Y","Nb","RADIANT","UB Quarterfinals","1","25.52","32 - 11"
"1804346268","09/19/15","NanYang China Qualifiers","TongFu","FTD.A","RADIANT","UB Quarterfinals","2","29.20","23 - 8"
"1804234037","09/19/15","ESL One NY 2015 China Qualifiers","Newbee.Y","VG.P","DIRE","Round of 16","2","28.30","8 - 28"
"1804230817","09/19/15","NanYang China Qualifiers","FTD.A","TongFu","DIRE","UB Quarterfinals","1","27.60","8 - 24"
"1804106373","09/19/15","ESL One NY 2015 China Qualifiers","VG.P","Newbee.Y","RADIANT","Round of 16","1","32.27","25 - 18"
"1803980277","09/19/15","NanYang China Qualifiers","EHOME","DK","RADIANT","UB Quarterfinals","2","36.12","38 - 18"
"1803951578","09/19/15","NanYang China Qualifiers","FTD.B","iG","DIRE","UB Quarterfinals","2","16.12","3 - 7"
"1803845170","09/19/15","NanYang China Qualifiers","iG","FTD.B","RADIANT","UB Quarterfinals","1","29.05","32 - 7"
"1803834706","09/19/15","NanYang China Qualifiers","DK","EHOME","DIRE","UB Quarterfinals","1","40.67","22 - 36"
"1803206446","09/18/15","BTS Americas 2","Tiken4","HCWP","DIRE","Round of 16","2","27.63","12 - 28"
"1803156797","09/18/15","BTS Americas 2","Tiken4","HCWP","DIRE","Round of 16","1","26.22","6 - 35"
"1803043526","09/18/15","BTS Americas 2","ISG","coL 2","DIRE","Round of 16","2","37.58","10 - 28"
"1802982056","09/18/15","BTS Americas 2","coL 2","ISG","RADIANT","Round of 16","1","40.42","30 - 29"
"1802134495","09/18/15","NanYang China Qualifiers","FTD.B","VG.P","RADIANT","Tiebreaker","1","31.72","36 - 16"
"1802056620","09/18/15","ESL One NY 2015 China Qualifiers","Nb","FTD.A","RADIANT","Round of 16","2","38.70","30 - 19"
"1801971210","09/18/15","NanYang China Qualifiers","FTD.B","DB 2","RADIANT","Tiebreaker","1","35.93","39 - 22"
"1801832672","09/18/15","ESL One NY 2015 China Qualifiers","FTD.A","Nb","DIRE","Round of 16","1","57.38","36 - 42"
"1801781605","09/18/15","NanYang China Qualifiers","DB 2","VG.P","RADIANT","Group Stage","1","42.58","33 - 19"
"1801745647","09/18/15","NanYang China Qualifiers","CDEC.Y","EHOME.K","RADIANT","Group Stage","1","29.58","29 - 7"
"1801613994","09/18/15","ESL One NY 2015 China Qualifiers","Team HGT","DB 2","DIRE","Round of 16","2","36.02","22 - 21"
"1801598392","09/18/15","NanYang China Qualifiers","VG.P","FTD.B","RADIANT","Group Stage","1","54.02","32 - 30"
"1801595668","09/18/15","NanYang China Qualifiers","EHOME.K","FTD.A","DIRE","Group Stage","1","37.73","21 - 34"
"1801523988","09/18/15","ESL One NY 2015 China Qualifiers","DB 2","Team HGT","RADIANT","Round of 16","1","30.32","28 - 14"
"1800855339","09/17/15","BTS Americas 2","VB","paiN","RADIANT","Round of 16","2","38.85","28 - 14"
"1800788917","09/17/15","BTS Americas 2","paiN","VB","DIRE","Round of 16","1","45.52","19 - 21"
"1800741716","09/17/15","ESL One NY 2015 Americas Qualifiers","coL 2","Fire","DIRE","Finals","3","58.45","33 - 60"
"1800701512","09/17/15","BTS Americas 2","LvT","Sector V","RADIANT","Round of 16","2","37.90","33 - 23"
"1800647802","09/17/15","BTS Americas 2","Sector V","LvT","DIRE","Round of 16","1","48.78","16 - 40"
"1800643648","09/17/15","ESL One NY 2015 Americas Qualifiers","coL 2","Fire","DIRE","Finals","2","91.07","38 - 51"
"1800589503","09/17/15","ESL One NY 2015 Americas Qualifiers","coL 2","Fire","DIRE","Finals","1","19.20","3 - 18"
"1800047189","09/17/15","ESL One NY 2015 China Qualifiers","DK","EHOME.K","RADIANT","","","37.10","42 - 16"
"1799835748","09/17/15","ESL One NY 2015 China Qualifiers","DK","EHOME.K","RADIANT","","","64.65","41 - 37"
"1799816206","09/17/15","ESL One NY 2015 China Qualifiers","Newbee.Y","FTD.B","RADIANT","","","30.65","15 - 12"
"1799686281","09/17/15","ESL One NY 2015 China Qualifiers","FTD.B","Newbee.Y","DIRE","","","28.55","9 - 27"
"1799662502","09/17/15","NanYang China Qualifiers","DK","Bheart","RADIANT","Group Stage","1","19.00","12 - 3"
"1799542689","09/17/15","ESL One NY 2015 China Qualifiers","DB 2","Bheart","RADIANT","","","33.22","34 - 20"
"1799528344","09/17/15","NanYang China Qualifiers","Newbee.Y","Team HGT","DIRE","Group Stage","1","43.37","17 - 26"
"1799461963","09/17/15","ESL One NY 2015 China Qualifiers","Bheart","DB 2","DIRE","","","22.78","9 - 30"
