"2013 National Graduates Survey (Class of 2009/2010) - Number of employed graduates, by educational information and extent to which their job was related to their certificate, diploma or degree",,,,,,,
HIGHEST_LEVEL_OF_STUDY,HIGHEST_LEVEL_OF_STUDY_CODE,FIELD_OF_STUDY,FIELD_OF_STUDY_CODE,RELATION_BETWEEN_GRADUATES_FIELD_OF_STUDY_AND_CURRENT_JOB,RELATION_BETWEEN_GRADUATES_FIELD_OF_STUDY_AND_CURRENT_JOB_CODE,COUNTS,Percent
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,"Agriculture, natural resources and conservation ",FOS101,Closely related,JFOS01,941,0.5759
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,"Agriculture, natural resources and conservation ",FOS101,Somewhat related,JFOS02,320,0.1958
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,"Agriculture, natural resources and conservation ",FOS101,Not related at all,JFOS03,373,0.2283
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,"Agriculture, natural resources and conservation ",FOS101,Total,JFOS0,1634,1.00
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,"Computer science, mathematics and statistics ",FOS102,Closely related,JFOS01,1880,0.6436
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,"Computer science, mathematics and statistics ",FOS102,Somewhat related,JFOS02,530,0.1814
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,"Computer science, mathematics and statistics ",FOS102,Not related at all,JFOS03,511,0.1749
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,"Computer science, mathematics and statistics ",FOS102,Total,JFOS0,2921,1.00
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Education ,FOS103,Closely related,JFOS01,2020,0.7432
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Education ,FOS103,Somewhat related,JFOS02,364,0.1339
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Education ,FOS103,Not related at all,JFOS03,334,0.1229
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Education ,FOS103,Total,JFOS0,2718,1.00
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Architecture and engineering ,FOS120,Closely related,JFOS01,993,0.6253
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Architecture and engineering ,FOS120,Somewhat related,JFOS02,0,0.0000
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Architecture and engineering ,FOS120,Not related at all,JFOS03,0,0.0000
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Architecture and engineering ,FOS120,Total,JFOS0,1588,1.00
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Physical and life sciences technologies ,FOS105,Closely related,JFOS01,489,0.6858
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Physical and life sciences technologies ,FOS105,Somewhat related,JFOS02,0,0.0000
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Physical and life sciences technologies ,FOS105,Not related at all,JFOS03,0,0.0000
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Physical and life sciences technologies ,FOS105,Total,JFOS0,713,1.00
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Humanities ,FOS108,Closely related,JFOS01,622,0.2552
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Humanities ,FOS108,Somewhat related,JFOS02,423,0.1736
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Humanities ,FOS108,Not related at all,JFOS03,1391,0.5708
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Humanities ,FOS108,Total,JFOS0,2437,1.00
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Social and behavioural sciences ,FOS109,Closely related,JFOS01,6897,0.6027
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Social and behavioural sciences ,FOS109,Somewhat related,JFOS02,2096,0.1832
