2011 National Household Survey Data on the Annual Earnings and Employment of Graduates,,,,,,,,,,,,,,,,
HIGHEST_LEVEL_OF_STUDY,HIGHEST_LEVEL_OF_STUDY_CODE,YEARS_SINCE_GRADUATION,YEARS_SINCE_GRADUATION_CODE,MAJOR_FIELD_OF_STUDY,MAJOR_FIELD_OF_STUDY_CODE,LABOUR_FORCE_ACTIVITY,LABOUR_FORCE_ACTIVITY_CODE,WORK_ACTIVITY,WORK_ACTIVITY_CODE,TOTAL_EMPLOYMENT,WITHOUT_EMPLOYMENT,WITH_EMPLOYMENT,QUARTILE_1,QUARTILE_2,QUARTILE_3,AVERAGE_HOURS_WORKED
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS1,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,240880.0,6730.0,234150.0,30879.7,42495.3,57104.9,37.5
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,All College Programs,FOS1,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,235280.0,6570.0,228710.0,30791.0,42360.2,56769.2,37.5
High school diploma or equivalency certificate,LOS020,5 years,YSG05,Not applicable,FOS3,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,187025.0,6480.0,180545.0,20143.4,28725.1,39769.6,36.6
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Business, social work and protective services/professions",FOS120,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,72850.0,2025.0,70825.0,31690.5,42274.7,56371.2,37.3
"No certificate, diploma or degree",LOS010,5 years,YSG05,Not applicable,FOS3,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,57300.0,2850.0,54455.0,18694.0,26435.3,37223.3,36.3
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Business, management, marketing and related support services",FOS118,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,53680.0,1500.0,52185.0,31072.9,41004.7,52837.8,37.1
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering technologies and trades",FOS150,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,43000.0,1265.0,41730.0,38079.4,51945.8,68976.0,40.3
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Health professions, related clinical sciences and recreation/fitness",FOS130,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,34140.0,925.0,33215.0,29106.2,40540.2,53271.7,34.6
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Health professions and related clinical sciences,FOS117,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,31805.0,840.0,30960.0,29080.8,40746.1,53488.1,34.4
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering and related technologies",FOS104,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,25035.0,605.0,24425.0,39090.8,52882.2,70693.6,39.8
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Business, management, marketing, and related support services, Other",FOS1181,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,24945.0,690.0,24260.0,30896.6,40883.3,53057.4,37.1
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Social, behavioural and family/consumer sciences",FOS140,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,20950.0,610.0,20340.0,27713.7,36651.1,47594.3,35.5
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Design, music, performing, fine and applied arts",FOS114,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,18035.0,465.0,17570.0,26970.5,37530.5,49266.5,37.8
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Computer science, mathematics and statistics",FOS102,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,17635.0,420.0,17215.0,36654.3,47890.9,62159.5,38.1
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Security and protective services,FOS1060,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,13725.0,385.0,13335.0,38524.9,55975.3,75658.5,39.2
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Other computer and information sciences and support services,FOS1023,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,12760.0,330.0,12430.0,35930.1,47539.4,62126.8,38.2
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Social and behavioural sciences,FOS109,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,11795.0,310.0,11490.0,31035.9,41406.9,52853.7,36.6
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Mechanic and repair technologies,FOS111,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,10890.0,365.0,10520.0,38990.5,52269.9,70514.1,41.4
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Personal and culinary services,FOS113,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,10495.0,310.0,10185.0,23158.5,34579.9,49671.9,37.1
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Marketing Related Services,FOS1186,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,9220.0,285.0,8935.0,30834.3,41181.0,52920.2,37.0
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Family and consumer sciences,FOS115,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,9150.0,305.0,8850.0,24480.2,32139.1,39197.4,33.9
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Human development, family studies and related services",FOS1151,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,8355.0,265.0,8090.0,23975.5,31771.7,38697.0,33.9
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and Related Services,FOS1183,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,7630.0,200.0,7430.0,30943.0,40072.6,51181.5,36.7
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Design and Applied Arts,FOS1141,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,7600.0,200.0,7400.0,27451.9,37295.1,47496.1,37.2
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Electrical and Electronic Engineering Technologies/Technicians,FOS1044,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,7020.0,180.0,6840.0,39939.5,53898.8,73746.6,39.1
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,6760.0,185.0,6575.0,26758.3,42099.5,56721.7,43.5
