2011 National Household Survey Data on the Labour Market Outcomes of Graduates,,,,,,,,,,,,,,,,
HIGHEST_LEVEL_OF_STUDY,HIGHEST_LEVEL_OF_STUDY_CODE,YEARS_SINCE_GRADUATION,YEARS_SINCE_GRADUATION_CODE,MAJOR_FIELD_OF_STUDY,MAJOR_FIELD_OF_STUDY_CODE,OCCUPATION,TOTAL_LABOUR FORCE,IN_THE LABOUR FORCE,EMPLOYED,UNEMPLOYED,NOT_IN_THE LABOUR FORCE,Employment_rate%,Unemployment rate%,Out_of_Labour_Force%,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,Total - Occupation (2006 NOC - HRSDC),14110,12505,11550,955,1600,0.82,0.08,0.11,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,1111 Financial auditors and accountants,1705,1580,1535,45,125,0.90,0.03,0.07,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,1431 Accounting and related clerks,1575,1495,1405,95,80,0.89,0.06,0.05,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,1231 Bookkeepers,1260,1200,1145,55,50,0.91,0.05,0.04,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,1411 General office clerks,575,535,475,60,35,0.83,0.11,0.06,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,1221 Administrative officers,505,480,455,20,30,0.90,0.04,0.06,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,6421 Retail salespersons and sales clerks,430,390,320,70,45,0.74,0.18,0.10,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,"1453 Customer service, information and related clerks",270,260,230,35,0,0.85,0.13,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,0621 Retail trade managers,235,205,205,0,0,0.87,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,1112 Financial and investment analysts,205,205,200,0,0,0.98,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,6453 Food and beverage servers,200,185,185,0,15,0.93,0.00,0.08,,
