"2013 National Graduates Survey (Class of 2009/2010) - Number of graduates by educational information, labour market outcome three years after graduation and whether they would choose the same field of study again",,,,,,,,,
HIGHEST_LEVEL_OF_STUDY,HIGHEST_LEVEL_OF_STUDY_CODE,FIELD_OF_STUDY,FIELD_OF_STUDY_CODE,EMPLOYMENT_STATUS,EMPLOYMENT_STATUS_CODE,WOULD_CHOOSE_SAME_FIELD_OF_STUDY_COMPLETED_AGAIN,WOULD_CHOOSE_SAME_FIELD_OF_STUDY_COMPLETED_AGAIN_CODE,COUNTS,Percent
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,"Agriculture, natural resources and conservation ",FOS101,Total,LFA0,Yes,CFOS01,1699,0.785120148
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,"Agriculture, natural resources and conservation ",FOS101,Total,LFA0,No,CFOS02,465,0.214879852
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,"Agriculture, natural resources and conservation ",FOS101,Total,LFA0,Total,CFOS0,2164,1
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,"Computer science, mathematics and statistics ",FOS102,Total,LFA0,Yes,CFOS01,2644,0.773778168
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,"Computer science, mathematics and statistics ",FOS102,Total,LFA0,No,CFOS02,773,0.226221832
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,"Computer science, mathematics and statistics ",FOS102,Total,LFA0,Total,CFOS0,3417,1
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Education ,FOS103,Total,LFA0,Yes,CFOS01,2804,0.852279635
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Education ,FOS103,Total,LFA0,No,CFOS02,485,0.147416413
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Education ,FOS103,Total,LFA0,Total,CFOS0,3290,1
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Architecture and engineering ,FOS120,Total,LFA0,Yes,CFOS01,1506,0.774691358
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Architecture and engineering ,FOS120,Total,LFA0,No,CFOS02,0,0
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Architecture and engineering ,FOS120,Total,LFA0,Total,CFOS0,1944,1
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Physical and life sciences technologies ,FOS105,Total,LFA0,Yes,CFOS01,0,Not available
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Physical and life sciences technologies ,FOS105,Total,LFA0,No,CFOS02,252,Not available
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Physical and life sciences technologies ,FOS105,Total,LFA0,Total,CFOS0,0,Not available
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Humanities ,FOS108,Total,LFA0,Yes,CFOS01,1894,0.588564326
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Humanities ,FOS108,Total,LFA0,No,CFOS02,1324,0.411435674
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Humanities ,FOS108,Total,LFA0,Total,CFOS0,3218,1
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Social and behavioural sciences ,FOS109,Total,LFA0,Yes,CFOS01,9580,0.708737146
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Social and behavioural sciences ,FOS109,Total,LFA0,No,CFOS02,3937,0.291262854
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Social and behavioural sciences ,FOS109,Total,LFA0,Total,CFOS0,13517,1
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,"Design, music, performing, fine and applied arts ",FOS114,Total,LFA0,Yes,CFOS01,3514,0.742289818
